#Experiment E7				
#Time:12/10/2017 11:23				
#Input Voltage:2V    R=1520 +/- 10 Ohm				
#frequency(Hz)	peak-to-peak voltage(volt)	unc voltage (volt)	y0 (volt)	y1 (volt)
10000	2.30	0.05	2.30	0.50
11000	2.30	0.05	2.30	0.50
12000	2.35	0.05	2.35	0.70
13000	2.45	0.05	2.45	0.70
14000	2.60	0.05	2.60	0.90
15000	2.65	0.05	2.65	1.00
16000	2.70	0.05	2.70	1.05
17000	2.85	0.05	2.85	1.20
18000	2.95	0.05	2.95	1.50
19000	3.05	0.05	3.05	1.70
20000	3.20	0.05	3.20	1.75
21000	3.40	0.05	3.40	2.20
22000	3.50	0.05	3.50	2.45
23000	3.65	0.05	3.65	2.80
24000	3.80	0.05	3.80	3.10
25000	3.85	0.05	3.85	3.40
25500	3.85	0.05	3.85	3.40
26000	3.90	0.05	3.80	3.50
26500	3.85	0.05	3.85	3.60
27000	3.85	0.05	3.85	3.70
27500	3.80	0.05	3.80	3.75
28000	3.70	0.05	3.70	3.70
29000	3.55	0.05	3.55	3.50
30000	3.35	0.05	3.35	3.20
31000	3.10	0.05	3.10	2.85
32000	2.90	0.05	2.90	2.55
33000	2.65	0.05	2.65	2.25
34000	2.45	0.05	2.45	2.00
35000	2.25	0.05	2.25	1.75
36000	2.10	0.05	2.10	1.50
37000	1.90	0.05	1.90	1.25
38000	1.75	0.05	1.75	1.20
39000	1.65	0.05	1.65	1.00
40000	1.50	0.05	1.50	0.90